Family Name,Address,City,State,Zip Code,Area,Env#,Mobile,Home,Email,Wedding Date,Individual Name,Gender,Role,Birthday
Dr. Santhosh G. John,3248 jareda Pl. ,New York,NY,12466,San Ramon,605,3144850436,2046267610,matt@yahoo.com,31-Jul-89,Santhosh John,Male,Head Of Household,19-Sep-59
Dr. Santhosh G. John,3248 jareda Pl. ,New York,NY,12466,San Ramon,605,3144850436,2046267610,matt@yahoo.com,,Susan John,Female,Spouse,23-Jul-66
Dr. Santhosh G. John,3248 jareda Pl. ,New York,NY,12466,San Ramon,605,3144850436,2046267610,matt@yahoo.com,,Aditi John,Female,Daughter,29-Nov-90
Dr. Santhosh G. John,3248 jareda Pl. ,New York,NY,12466,San Ramon,605,3144850436,2046267610,matt@yahoo.com,,Anjali John,Female,Daughter,6-Apr-95
Dr. Santhosh G. John,3248 jareda Pl. ,New York,NY,12466,San Ramon,605,3144850436,2046267610,matt@yahoo.com,,Rohan John,Male,Son,13-Jul-03
lucy Alex,1238 N San Longer Dr ,River House,NY,95391,San Ramon,417,2073710426,2073029741,lucy79@gmail.com,1/1/207,lucy Alex,Male,Head Of Household,7-Apr-79
lucy Alex,1238 N San Longer Dr ,River House,NY,95391,San Ramon,417,2073710426,2073029741,lucy79@gmail.com,,Elizabeth Varghese,Female,Spouse,14-Jul-81
lucy Alex,1238 N San Longer Dr ,River House,NY,95391,San Ramon,417,2073710426,2073029741,lucy79@gmail.com,,Evan Alex,Male,Son,16-Apr-08
lucy Alex,1238 N San Longer Dr ,River House,NY,95391,San Ramon,417,2073710426,2073029741,lucy79@gmail.com,,Ruth Alex,Female,Daughter,4-Jun-17
lucy Alex,1238 N San Longer Dr ,River House,NY,95391,San Ramon,417,2073710426,2073029741,lucy79@gmail.com,,Naomi Alex,Female,Daughter,29-Sep-14
John Alex,1897 jacko Lane ,Kansas,NY,12468,San Ramon,129,2047975579,2043072261,rashajt@gmail.com,2/5/207,John Alex,Male,Head Of Household,21-Aug-79
John Alex,1897 jacko Lane ,Kansas,NY,12468,San Ramon,129,2047975579,2043072261,rashajt@gmail.com,,rasha Thomas,Female,Spouse,11-Feb-83
John Alex,1897 jacko Lane ,Kansas,NY,12468,San Ramon,129,2047975579,2043072261,rashajt@gmail.com,,Andrew John,Male,Son,1-Dec-08
John Alex,1897 jacko Lane ,Kansas,NY,12468,San Ramon,129,2047975579,2043072261,rashajt@gmail.com,,David John,Male,Son,10-Nov-14
Joy Merlin,1298 Christie Cir ,Lincoln,NY,12450,San Ramon,454,2044546122,8182825724,bankhacks@gmail.com,30-Jun-05,Joy Merlin,Male,Head Of Household,17-Nov-73
Joy Merlin,1298 Christie Cir ,Lincoln,NY,12450,San Ramon,454,2044546122,8182825724,bankhacks@gmail.com,,Blessy Joy,Female,Spouse,21-Feb-80
Joy Merlin,1298 Christie Cir ,Lincoln,NY,12450,San Ramon,454,2044546122,8182825724,bankhacks@gmail.com,,Isabel Joy,Female,Daughter,7-Oct-08
Joy Merlin,1298 Christie Cir ,Lincoln,NY,12450,San Ramon,454,2044546122,8182825724,bankhacks@gmail.com,,Angeline Joy,Female,Daughter,17-Nov-10
John Philip,890 merrill Lane ,Franklin,NY,12418,San Ramon,396,3149691015,3146984383,levyp@hotmail.com,18-Nov-99,John Chankaramangalam,Male,Head Of Household,29-Sep-70
John Philip,890 merrill Lane ,Franklin,NY,12418,San Ramon,396,3149691015,3146984383,levyp@hotmail.com,,Ajni George,Female,Spouse,13-May-76
John Philip,890 merrill Lane ,Franklin,NY,12418,San Ramon,396,3149691015,3146984383,levyp@hotmail.com,,Johnuel John,Male,Son,14-Jan-08
John Philip,890 merrill Lane ,Franklin,NY,12418,San Ramon,396,3149691015,3146984383,levyp@hotmail.com,,Ivana John,Female,Daughter,14-Jan-08
